|data
10|Thanks for telling us about the problem. Be the first to ask a question about The Second Sun 
11|Thanks for telling us about the problem. Be the first to ask a question about The Great and Terrible, Vol. 6 
12|Thanks for telling us about the problem.
13|Thanks for telling us about the problem. Be the first to ask a question about More than Night 
14|Thanks for telling us about the problem. Be the first to ask a question about Auf Christus Schauen 
15|Thanks for telling us about the problem. Be the first to ask a question about All Things Shining 
16|Thanks for telling us about the problem. Be the first to ask a question about The Wanted 
17|Thanks for telling us about the problem. Be the first to ask a question about Die Buying 
18|Thanks for telling us about the problem. Be the first to ask a question about Anatomy of a Disappearance 
19|Thanks for telling us about the problem.
20|Thanks for telling us about the problem.Life hasn't been easy on sixteen-year-old Emma Connor, so a new start in New York may be just the change she needs. But the posh Upper East Side prep school she has to attend? Not so much. Friendly faces are few and far between, except for one that she's irresistibly drawn to Brendan SaliLife hasn't been easy on sixteen-year-old Emma Connor, so a new start in New York may be just the change she needs. But the posh Upper East Side prep school she has to attend? Not so much. Friendly faces are few and far between, except for one that she's irresistibly drawn to Brendan Salinger, the guy with the rock-star good looks and the richest kid in school, who might just be her very own white knight.But even when Brendan inexplicably turns cold, Emma can't stop staring. Ever since she laid eyes on him, strange things have been happening. Streetlamps go out wherever she walks, and Emma's been having the oddest dreams: visions of herself in past lives visions that warn her to stay away from Brendan. Or else.
21|Thanks for telling us about the problem.
22|Thanks for telling us about the problem.
23|Thanks for telling us about the problem. Be the first to ask a question about Pretty Bones 
24|Thanks for telling us about the problem.
25|Thanks for telling us about the problem.
26|Thanks for telling us about the problem. Be the first to ask a question about Flavia and her Artists 
27|Thanks for telling us about the problem. Be the first to ask a question about Circle of Cranes 
28|Thanks for telling us about the problem.
29|Thanks for telling us about the problem.
30|Thanks for telling us about the problem. Be the first to ask a question about C.S. Lewis's The Chronicles of Narnia 
31|Thanks for telling us about the problem. Be the first to ask a question about The Voyage of the Dawn Treader 
32|Thanks for telling us about the problem.
33|Thanks for telling us about the problem.
34|Thanks for telling us about the problem.Reviewed from an ARC.5 stars if considered as a YA novel; 4 stars if read as an adult (it probably deserves more, Hill does a fine job—more to follow.It’s been a long, long time since I read something that has been such a page-turner, something plot-driven, something this exciting and this well-done. Dammit. It’s just not right. This is exceptionally well-written FanFReviewed from an ARC.5 stars if considered as a YA novel; 4 stars if read as an adult (it probably deserves more, Hill does a fine job—more to follow.Of course, it sounds hokey; how could it not? Yet, Hill succeeds in bringing his tale through a relentless 540 pages to its stunning conclusion and set up for the next volume. All great fun, a great book for young adults which is action-based and not a silly romance (although, potential for a budding romance is certainly built in—and what a peculiar romance that could turn out to be). Gore and brutality might render this one better suited for boys (I know, stereotyping, but there it is), however there’s enough compassion to recommend this one to anyone—young adult or adult. It’s fast, it’s furious, it’s fun.
35|Thanks for telling us about the problem. Be the first to ask a question about Ο θρόνος από δρακοκόκαλο, Τόμος Α' 
36|Thanks for telling us about the problem.
37|Thanks for telling us about the problem.
38|Thanks for telling us about the problem.
39|Thanks for telling us about the problem.
40|Thanks for telling us about the problem.
41|Thanks for telling us about the problem. Be the first to ask a question about The Rough Guide to Film Noir 1 
42|Thanks for telling us about the problem. Be the first to ask a question about Cozinha Tradicional Portuguesa 
43|Thanks for telling us about the problem. Be the first to ask a question about A History of Israel 
44|Thanks for telling us about the problem. Be the first to ask a question about Notorious Pleasures 
